checkin_id,user_id,venue_id,venue_name,venue_category,latitude,longitude,timestamp,crowd_density,avg_dwell_minutes,day_of_week,hour_of_day,is_weekend,weather_condition,user_age_group,user_preference,visit_frequency,user_engagement_score,venue_popularity_score,event_type,user_status,recommended_venue,incident_flag,officer_action,patrol_zone,activity_type
CHK0001,USR0140,VEN002,Harborview Bar,Bar/Lounge,40.7295,-74.0028,03/04/2024 10:15:14 PM,91,119,Monday,22,0,Clear,45+,Shopping,High,75,86,Happy Hour,Returning,Recommend Metro Nightclub,CRITICAL,Immediate Response,Zone B — Harbor District,Alcohol Service
CHK0002,USR0051,VEN002,Harborview Bar,Bar/Lounge,40.7295,-74.0028,05/15/2024 07:01:05 PM,79,87,Wednesday,19,0,Clear,45+,Nightlife,Medium,44,56,Networking Event,Returning,Recommend Metro Nightclub,HIGH,Monitor Closely,Zone B — Harbor District,Large Gathering
CHK0003,USR0179,VEN009,TechHub Coworking,Coworking,40.7001,-74.0065,04/23/2024 10:37:17 AM,39,192,Tuesday,10,0,Cloudy,18-24,Shopping,Medium,85,83,Business Meetup,Returning,Recommend Central Coffee House,NORMAL,No Action Required,Zone C — Midtown,Private Gathering
CHK0004,USR0089,VEN007,Downtown Food Court,Food Court,40.708,-74.0019,04/13/2024 11:13:48 AM,70,44,Saturday,11,1,Sunny,25-34,Coffee,High,56,87,Retail Promotion,New,Recommend Seaside Restaurant,HIGH,Monitor Closely,Zone A — Downtown,Crowd Event
CHK0005,USR0142,VEN010,Riverwalk Park,Park,40.7054,-74.0087,04/03/2024 06:46:29 PM,58,62,Wednesday,18,0,Sunny,18-24,Business,High,46,74,Weekend Party,Returning,Recommend Greenfield Gym,ELEVATED,Routine Patrol,Zone D — Waterfront,Nightlife Event
CHK0006,USR0059,VEN005,Greenfield Gym,Gym,40.7087,-74.0077,05/20/2024 04:55:23 PM,28,58,Monday,16,0,Sunny,35-44,Shopping,Low,40,56,Morning Workout,New,Recommend Riverwalk Park,NORMAL,No Action Required,Zone E — North End,Regular Activity
CHK0007,USR0042,VEN005,Greenfield Gym,Gym,40.7087,-74.0077,03/11/2024 07:55:06 PM,38,72,Monday,19,0,Sunny,35-44,Coffee,Medium,48,54,Morning Workout,Returning,Recommend Riverwalk Park,NORMAL,No Action Required,Zone E — North End,Regular Activity
CHK0008,USR0044,VEN006,Grand Theater,Entertainment,40.7012,-74.0069,04/15/2024 02:17:44 PM,72,76,Monday,14,0,Rainy,35-44,Business,High,49,56,Concert,Returning,Recommend Metro Nightclub,HIGH,Monitor Closely,Zone A — Downtown,Major Event
CHK0009,USR0176,VEN009,TechHub Coworking,Coworking,40.7001,-74.0065,04/01/2024 09:24:17 AM,32,146,Monday,9,0,Rainy,35-44,Fitness,High,61,69,Business Meetup,New,Recommend Central Coffee House,NORMAL,No Action Required,Zone C — Midtown,Private Gathering
CHK0010,USR0146,VEN006,Grand Theater,Entertainment,40.7012,-74.0069,03/08/2024 02:02:51 PM,76,115,Friday,14,0,Sunny,45+,Nightlife,Medium,60,64,Live Music,Returning,Recommend Metro Nightclub,HIGH,Monitor Closely,Zone A — Downtown,Live Entertainment
