checkin_id,user_id,venue_id,venue_name,venue_category,latitude,longitude,timestamp,crowd_density,avg_dwell_minutes,day_of_week,hour_of_day,is_weekend,weather_condition,user_age_group,user_preference,visit_frequency,user_engagement_score,venue_popularity_score,event_type,user_status,recommended_venue,incident_flag,officer_action,patrol_zone,activity_type,city,county,state,event_name,event_category,event_size,event_start_time,event_end_time,event_risk_level
CHK00001,USR0595,VEN015,Eclipse Club,Nightclub,40.69994,-73.994693,06/23/2024 10:34:35 PM,97,132,Sunday,22,1,Rainy,18-24,Coffee,Low,88,51,Late Night,New,Recommend Apex Night,CRITICAL,Immediate Response,Zone A — Downtown,Nightlife Event,Jersey City,Hudson County,New Jersey,Friday Night Live,Nightlife,Large,10:00 PM,12:00 AM,CRITICAL
CHK00002,USR0101,VEN134,Brew Cafe,Cafe,40.727215,-73.994885,06/19/2024 08:00:14 AM,61,47,Wednesday,8,0,Rainy,35-44,Nightlife,Low,40,50,Morning Workout,Returning,Recommend Cup Espresso,ELEVATED,Routine Patrol,Zone C — Midtown,Regular Activity,Jersey City,Hudson County,New Jersey,Morning Rush,Dining,Medium,8:00 AM,10:00 AM,ELEVATED
CHK00003,USR0409,VEN075,Spice Eatery,Restaurant,40.704426,-73.992469,01/01/2024 11:31:04 PM,58,26,Monday,23,0,Clear,45+,Fitness,Low,40,50,Happy Hour,New,Recommend Bay Eatery,ELEVATED,Routine Patrol,Zone F — Commercial,Alcohol Service,Secaucus,Bergen County,New Jersey,Special Dining Event,Dining,Medium,11:00 PM,1:00 AM,ELEVATED
CHK00004,USR0952,VEN155,Liberty Theater,Entertainment,40.715838,-74.017357,05/05/2024 09:00:56 PM,90,97,Sunday,21,1,Cloudy,45+,Coffee,Low,55,50,Concert,Returning,Recommend Empire Stage,CRITICAL,Immediate Response,Zone D — Waterfront,Major Event,Weehawken,Hudson County,New Jersey,Comedy Show,Entertainment,Large,9:00 PM,11:00 PM,CRITICAL
CHK00005,USR0217,VEN066,Table Eatery,Restaurant,40.704105,-74.018899,03/23/2024 08:21:26 PM,84,139,Saturday,20,1,Cloudy,25-34,Business,Low,77,50,Happy Hour,New,Recommend Metro Dining,HIGH,Monitor Closely,Zone B — Harbor District,Alcohol Service,Hoboken,Hudson County,New Jersey,Weekend Brunch,Dining,Medium,8:00 PM,10:00 PM,HIGH
CHK00006,USR0643,VEN029,Gold Tavern,Bar/Lounge,40.731513,-73.99124,04/30/2024 08:37:30 AM,60,90,Tuesday,8,0,Cloudy,45+,Music,Low,53,50,Happy Hour,New,Recommend Harbor Pub,ELEVATED,Routine Patrol,Zone C — Midtown,Alcohol Service,Jersey City,Hudson County,New Jersey,Live Music Night,Nightlife,Medium,8:00 AM,10:00 AM,ELEVATED
CHK00007,USR0711,VEN195,Central Galleria,Mall,40.700192,-73.991936,03/02/2024 11:36:59 PM,49,66,Saturday,23,1,Clear,35-44,Fitness,Low,40,50,Weekend Party,Returning,Recommend Metro Mall,NORMAL,No Action Required,Zone A — Downtown,Nightlife Event,Jersey City,Hudson County,New Jersey,Weekend Sale,Retail,Small,11:00 PM,1:00 AM,NORMAL
CHK00008,USR0778,VEN213,Core Athletics,Gym,40.686571,-73.992273,01/23/2024 06:30:55 AM,48,82,Tuesday,6,0,Cloudy,35-44,Shopping,Low,51,50,Networking Event,New,Recommend Drive Fitness,NORMAL,No Action Required,Zone H — South Side,Large Gathering,Bayonne,Hudson County,New Jersey,Morning Workout,Fitness,Small,6:00 AM,8:00 AM,NORMAL
CHK00009,USR0430,VEN231,Elite CrossFit,Gym,40.720272,-74.001541,02/16/2024 05:18:54 AM,47,65,Friday,5,0,Cloudy,45+,Fitness,Low,40,50,Networking Event,Returning,Recommend Edge Gym,NORMAL,No Action Required,Zone F — Commercial,Large Gathering,Secaucus,Bergen County,New Jersey,Boot Camp,Fitness,Small,5:00 AM,7:00 AM,NORMAL
CHK00010,USR0855,VEN173,Point Food Hall,Food Court,40.739183,-74.007434,05/29/2024 12:38:24 AM,54,29,Wednesday,0,0,Rainy,45+,Nightlife,Low,40,50,Retail Promotion,Returning,Recommend Hub Market,ELEVATED,Routine Patrol,Zone I — University,Crowd Event,North Bergen,Bergen County,New Jersey,Lunch Rush,Dining,Medium,12:00 AM,2:00 AM,ELEVATED
CHK00011,USR0783,VEN035,Amber Pub,Bar/Lounge,40.726485,-73.9838,01/04/2024 07:43:13 PM,85,107,Thursday,19,0,Rainy,25-34,Nightlife,Low,75,60,Happy Hour Special,Returning,Recommend Crown Bar,CRITICAL,Immediate Response,Zone C — Midtown,Alcohol Service,Jersey City,Hudson County,New Jersey,Happy Hour Special,Nightlife,Large,7:00 PM,9:00 PM,CRITICAL
CHK00012,USR0320,VEN135,Brew Roasters,Cafe,40.688591,-74.018263,01/16/2024 07:04:49 PM,28,61,Tuesday,19,0,Rainy,45+,Music,Low,40,50,Morning Workout,New,Recommend Roast Roasters,NORMAL,No Action Required,Zone B — Harbor District,Regular Activity,Hoboken,Hudson County,New Jersey,Morning Rush,Dining,Small,7:00 PM,9:00 PM,NORMAL
CHK00013,USR0244,VEN098,Urban Eatery,Restaurant,40.724759,-74.017765,02/25/2024 07:47:47 PM,78,46,Sunday,19,1,Clear,18-24,Business,Low,49,50,Dinner Special,Returning,Recommend Bay Restaurant,HIGH,Monitor Closely,Zone I — University,Dining Service,North Bergen,Bergen County,New Jersey,Weekend Brunch,Dining,Medium,7:00 PM,9:00 PM,HIGH
CHK00014,USR0683,VEN193,Urban Shopping Center,Mall,40.729639,-74.006188,02/25/2024 03:05:57 AM,60,91,Sunday,3,1,Cloudy,45+,Shopping,Low,56,50,Weekend Party,New,Recommend Metro Galleria,ELEVATED,Routine Patrol,Zone C — Midtown,Nightlife Event,Jersey City,Hudson County,New Jersey,Holiday Shopping,Retail,Medium,3:00 AM,5:00 AM,ELEVATED
CHK00015,USR0145,VEN110,Coast Restaurant,Restaurant,40.707572,-74.025516,01/05/2024 04:14:12 PM,55,56,Friday,16,0,Sunny,45+,Fitness,Low,42,50,Happy Hour,Returning,Recommend Table Brasserie,ELEVATED,Routine Patrol,Zone B — Harbor District,Alcohol Service,Hoboken,Hudson County,New Jersey,Dinner Rush,Dining,Medium,4:00 PM,6:00 PM,ELEVATED
CHK00016,USR0279,VEN294,Endzone Sports Bar,Sports Bar,40.714179,-74.022955,04/18/2024 08:11:22 AM,71,124,Thursday,8,0,Sunny,45+,Shopping,Low,60,50,Weekend Party,New,Recommend Endzone Sports Lounge,HIGH,Monitor Closely,Zone D — Waterfront,Nightlife Event,Weehawken,Hudson County,New Jersey,Championship Viewing,Sports,Medium,8:00 AM,10:00 AM,HIGH
CHK00017,USR0167,VEN132,Brew Espresso,Cafe,40.72359,-74.003546,04/23/2024 11:13:02 AM,42,15,Tuesday,11,0,Sunny,25-34,Food,Low,40,50,Business Meetup,New,Recommend Brew Roasters,NORMAL,No Action Required,Zone F — Commercial,Private Gathering,Secaucus,Bergen County,New Jersey,Weekend Brunch,Dining,Small,11:00 AM,1:00 PM,NORMAL
